黒, 28003
抜, 27946
装, 27861
移, 27801
収, 27733
提, 27691
守, 27455
除, 27330
局, 27324
米, 27277
渡, 27232
与, 27218
築, 27168
絶, 27140
型, 27079
像, 27050
熱, 27028
千, 27024
王, 27015
周, 26992
右, 26890
寄, 26887
囲, 26823
総, 26708
賞, 26670
戸, 26669
各, 26618
頃, 26558
薬, 26548
割, 26542
去, 26481
階, 26302
買, 26193
降, 26122
症, 26102
府, 26080
未, 26065
統, 26050
察, 26019
勢, 25852
南, 25795
遠, 25789
友, 25755
飲, 25719
紙, 25686
望, 25662
含, 25655
描, 25615
左, 25572
走, 25568
裁, 25552
効, 25525
浮, 25482
路, 25482
圧, 25413
警, 25290
武, 25245
域, 25208
派, 25170
編, 25046
該, 24970
居, 24944
青, 24811
赤, 24783
営, 24701
独, 24686
究, 24647
程, 24502
録, 24477
談, 24413
酸, 24350
頼, 24229
英, 23986
領, 23872
兵, 23770
評, 23753
塩, 23625
監, 23516
紀, 23492
境, 23467
案, 23416
健, 23310
染, 23293
並, 23238
吉, 23190
君, 23190
巻, 23070
婚, 22940
我, 22900
掲, 22877
松, 22822
為, 22803
従, 22796
館, 22766
策, 22734
谷, 22704
江, 22699
担, 22644
妻, 22623
城, 22616
歴, 22604
講, 22563
載, 22556
押, 22508
撃, 22447
被, 22444
値, 22414
危, 22324
許, 22270
積, 22231
比, 22208
険, 22203
緒, 22062
響, 21935
商, 21931
費, 21827
療, 21798
整, 21781
党, 21759
著, 21632
春, 21503
幸, 21417
静, 21189
皇, 21177
倒, 21145
率, 21137
申, 21073
御, 21063
冷, 20954
端, 20877
訳, 20850
服, 20847
絵, 20813
極, 20808
草, 20755
福, 20740
減, 20735
末, 20638
痛, 20622
退, 20600
丸, 20593
佐, 20571
導, 20519
席, 20408
舞, 20314
推, 20283
修, 20282
非, 20279
毎, 20271
犯, 20264
低, 20223
兄, 20216
森, 20152
景, 20147
織, 20140
請, 19973
興, 19915
隊, 19891
香, 19880
処, 19865
夏, 19719
休, 19702
園, 19697
将, 19648
企, 19559
軽, 19552
曲, 19491
律, 19436
精, 19421
宅, 19359
焼, 19350
抱, 19342
探, 19327
普, 19283
超, 19271
障, 19259
角, 19197
老, 19130
挙, 19059
協, 18917
酒, 18831
厚, 18828
沢, 18803
越, 18716
橋, 18524
眼, 18518
奥, 18517
傷, 18477
展, 18464
岡, 18430
疑, 18328
康, 18284
帯, 18265
税, 18260
系, 18197
波, 18126
練, 18058
破, 18013
油, 18007
裏, 18007
印, 17981
久, 17877
船, 17867
片, 17864
留, 17855
版, 17833
災, 17829
述, 17761
刑, 17712
清, 17701
週, 17695
布, 17686
節, 17617
瞬, 17607
余, 17604
鉄, 17600
算, 17599
洋, 17570
財, 17500
寝, 17474
密, 17463
似, 17430
亡, 17423
芸, 17420
途, 17413
復, 17399
弁, 17360
速, 17315
委, 17266
夢, 17258
逃, 17237
辺, 17215
暮, 17206
雑, 17151
散, 17104
林, 17017
激, 17007
遺, 16996
払, 16937
照, 16878
環, 16859
司, 16821
旅, 16816
庭, 16805
故, 16684
志, 16675
茶, 16580
腹, 16574
補, 16571
触, 16560
逆, 16548
短, 16529
額, 16516
温, 16486
責, 16463
筋, 16436
尾, 16255
督, 16224
伊, 16190
吸, 16069
属, 16051
欲, 16044
街, 16024
骨, 15961
堂, 15935
驚, 15864
娘, 15849
皮, 15801
願, 15795
銀, 15782
錠, 15782
州, 15774
河, 15731
秋, 15666
養, 15591
撮, 15576
抗, 15506
隠, 15491
否, 15464
射, 15463
給, 15436
専, 15419
仲, 15406
憲, 15396
授, 15373
源, 15356
因, 15355
底, 15354
遊, 15337
暗, 15318
訴, 15251
恐, 15240
喜, 15216
礼, 15162
訪, 15160
胸, 15146
換, 15095
鳴, 15077
貴, 15055
閉, 15052
課, 15042
齢, 15009
坂, 14959
腕, 14942
掛, 14933
玉, 14922
陽, 14921
崎, 14916
耳, 14903
之, 14854
筆, 14818
池, 14807
困, 14802
級, 14765
壁, 14755
測, 14725
雨, 14715
誌, 14687
固, 14657
臣, 14621
敗, 14611
昨, 14608
替, 14608
折, 14546
混, 14527
乱, 14436
敷, 14366
継, 14332
震, 14332
更, 14313
星, 14296
忘, 14291
弟, 14270
拠, 14252
刻, 14247
児, 14229
踏, 14167
敵, 14150
津, 14132
丈, 14111
盛, 14047
扱, 14043
暴, 14033
届, 14014
怒, 14003
毛, 13967
眠, 13937
握, 13860
革, 13831
殿, 13782
庫, 13749
鮮, 13729
植, 13713
板, 13711
恋, 13679
倍, 13657
薄, 13595
蔵, 13585
憶, 13509
己, 13472
詰, 13448
刊, 13432
般, 13399
劇, 13398
昔, 13369
厳, 13347
里, 13332
脱, 13267
伸, 13168
弱, 13143
富, 13125
駅, 13107
陸, 13092
縁, 13079
詩, 13067
複, 13009
械, 13003
略, 12965
婦, 12938
契, 12906
借, 12892
納, 12832
歯, 12806
束, 12802
繰, 12760
農, 12760
怖, 12749
援, 12722
遣, 12695
輪, 12674
床, 12656
荷, 12643
詞, 12617
肩, 12588
患, 12582
依, 12561
創, 12551
窓, 12526
禁, 12516
洗, 12509
寺, 12495
枚, 12469
損, 12466
雲, 12463
脳, 12451
